; Sample Rate 8000
; Channels 2
               0  0.0074064396322 0.0074064396322 
        0.000125   0.065150121227  0.065150121227 
         0.00025    0.11546389433   0.11546389433 
        0.000375    0.14396628458   0.14396628458 
          0.0005    0.16711445386   0.16711445386 
        0.000625    0.18754927162   0.18754927162 
         0.00075    0.20525296032   0.20525296032 
        0.000875    0.21465836186   0.21465836186 
           0.001    0.22179076402   0.22179076402 
        0.001125    0.22714249603   0.22714249603 
         0.00125    0.23045047047   0.23045047047 
        0.001375    0.22718852526   0.22718852526 
          0.0015    0.22169833397   0.22169833397 
        0.001625    0.21479780832   0.21479780832 
         0.00175    0.20506466506   0.20506466506 
        0.001875    0.18779090652   0.18779090652 
           0.002    0.16680834303   0.16680834303 
        0.002125    0.14436617866   0.14436617866 
         0.00225    0.11487943027   0.11487943027 
        0.002375    0.06633155141   0.06633155141 
          0.0025  3.6969315261e-05 3.6969315261e-05 
        0.002625  -0.066406949889 -0.066406949889 
         0.00275   -0.11479961919  -0.11479961919 
        0.002875   -0.14445326431  -0.14445326431 
           0.003   -0.16671118699  -0.16671118699 
        0.003125   -0.18790060887  -0.18790060887 
         0.00325   -0.20494015468  -0.20494015468 
        0.003375    -0.2149392562   -0.2149392562 
          0.0035   -0.22153812647  -0.22153812647 
        0.003625   -0.22736910451  -0.22736910451 
         0.00375   -0.23024836229  -0.23024836229 
        0.003875   -0.22736746725  -0.22736746725 
           0.004   -0.22154161567  -0.22154161567 
        0.004125   -0.21493342519  -0.21493342519 
         0.00425   -0.20494911261  -0.20494911261 
        0.004375   -0.18788742647  -0.18788742647 
          0.0045   -0.16672961554  -0.16672961554 
        0.004625   -0.14442821825  -0.14442821825 
         0.00475   -0.11483276356  -0.11483276356 
        0.004875  -0.066364150494 -0.066364150494 
           0.005  -1.7121899873e-05 -1.7121899873e-05 
        0.005125    0.06639850745   0.06639850745 
         0.00525    0.11479813559   0.11479813559 
        0.005375    0.14446340781   0.14446340781 
          0.0055    0.16669371631   0.16669371631 
        0.005625     0.1879240158    0.1879240158 
         0.00575    0.20491196588   0.20491196588 
        0.005875    0.21497097984   0.21497097984 
           0.006    0.22150394227   0.22150394227 
        0.006125    0.22740470571   0.22740470571 
         0.00625    0.23021229682   0.23021229682 
        0.006375    0.22740323236   0.22740323236 
          0.0065    0.22150682844   0.22150682844 
        0.006625    0.21496654442   0.21496654442 
         0.00675    0.20491820946   0.20491820946 
        0.006875    0.18791588536   0.18791588536 
           0.007    0.16670396226   0.16670396226 
        0.007125     0.1444508736    0.1444508736 
         0.00725    0.11481323047   0.11481323047 
        0.007375   0.066380519886  0.066380519886 
          0.0075  3.7760473788e-06 3.7760473788e-06 
        0.007625  -0.066388068721 -0.066388068721 
         0.00775   -0.11480571469  -0.11480571469 
        0.007875   -0.14445842523  -0.14445842523 
           0.008   -0.16669643112  -0.16669643112 
        0.008125    -0.1879234002   -0.1879234002 
         0.00825   -0.20491085341  -0.20491085341 
        0.008375   -0.21497361967  -0.21497361967 
          0.0085   -0.22150005912  -0.22150005912 
        0.008625   -0.22740944382  -0.22740944382 
         0.00875   -0.23020680388  -0.23020680388 
        0.008875   -0.22740916116  -0.22740916116 
           0.009   -0.22150067566  -0.22150067566 
        0.009125   -0.21497273492  -0.21497273492 
         0.00925   -0.20491213398  -0.20491213398 
        0.009375   -0.18792169075  -0.18792169075 
          0.0095   -0.16669850796  -0.16669850796 
        0.009625    -0.1444558748   -0.1444558748 
         0.00975   -0.11480874335  -0.11480874335 
        0.009875  -0.066384505015 -0.066384505015 
            0.01  -3.1571835279e-07 -3.1571835279e-07 
        0.010125   0.066385141108  0.066385141108 
         0.01025    0.11480811192   0.11480811192 
        0.010375     0.1444565081    0.1444565081 
          0.0105    0.16669788584   0.16669788584 
        0.010625    0.18792230124   0.18792230124 
         0.01075    0.20491155563   0.20491155563 
        0.010875    0.21497326903   0.21497326903 
           0.011    0.22150021419   0.22150021419 
        0.011125    0.22740952251   0.22740952251 
         0.01125     0.2302065799    0.2302065799 
        0.011375    0.22740948945   0.22740948945 
          0.0115    0.22150023794   0.22150023794 
        0.011625    0.21497316333   0.21497316333 
         0.01175    0.20491163619   0.20491163619 
        0.011875    0.18792223046   0.18792223046 
           0.012    0.16669803346   0.16669803346 
        0.012125    0.14445633348   0.14445633348 
         0.01225    0.11480833171   0.11480833171 
        0.012375    0.06638488546   0.06638488546 
          0.0125  -1.4435499907e-08 -1.4435499907e-08 
        0.012625  -0.066384872887 -0.066384872887 
         0.01275   -0.11480830982  -0.11480830982 
        0.012875   -0.14445633162  -0.14445633162 
           0.013   -0.16669803904  -0.16669803904 
        0.013125   -0.18792218808  -0.18792218808 
         0.01325   -0.20491165854  -0.20491165854 
        0.013375   -0.21497319266  -0.21497319266 
          0.0135   -0.22150027659  -0.22150027659 
        0.013625   -0.22740946896  -0.22740946896 
         0.01375   -0.23020663252  -0.23020663252 
        0.013875   -0.22740951832  -0.22740951832 
           0.014   -0.22150028963  -0.22150028963 
        0.014125   -0.21497314889  -0.21497314889 
         0.01425   -0.20491161756  -0.20491161756 
        0.014375   -0.18792220205  -0.18792220205 
          0.0145   -0.16669802414  -0.16669802414 
        0.014625   -0.14445628645  -0.14445628645 
         0.01475   -0.11480835453  -0.11480835453 
        0.014875  -0.066384941339 -0.066384941339 
           0.015  2.2817403078e-08 2.2817403078e-08 
        0.015125   0.066384908278  0.066384908278 
         0.01525    0.11480831308   0.11480831308 
        0.015375    0.14445630834   0.14445630834 
          0.0155    0.16669805581   0.16669805581 
        0.015625    0.18792217644   0.18792217644 
         0.01575    0.20491158823   0.20491158823 
        0.015875    0.21497318055   0.21497318055 
           0.016    0.22150031943   0.22150031943 
        0.016125    0.22740948061   0.22740948061 
         0.01625    0.23020660225   0.23020660225 
        0.016375    0.22740951087   0.22740951087 
          0.0165    0.22150030546   0.22150030546 
        0.016625    0.21497314936   0.21497314936 
         0.01675    0.20491163479   0.20491163479 
        0.016875    0.18792222906   0.18792222906 
           0.017    0.16669804975   0.16669804975 
        0.017125    0.14445629437   0.14445629437 
         0.01725    0.11480832379   0.11480832379 
        0.017375   0.066384896636  0.066384896636 
          0.0175  -7.4505805969e-09 -7.4505805969e-09 
        0.017625  -0.066384912003 -0.066384912003 
         0.01775   -0.11480829539  -0.11480829539 
        0.017875   -0.14445634047  -0.14445634047 
           0.018   -0.16669806605  -0.16669806605 
        0.018125   -0.18792222068  -0.18792222068 
         0.01825   -0.20491158636  -0.20491158636 
        0.018375   -0.21497319685  -0.21497319685 
          0.0185   -0.22150027938  -0.22150027938 
        0.018625   -0.22740945732  -0.22740945732 
         0.01875   -0.23020655103  -0.23020655103 
        0.018875   -0.22740953136  -0.22740953136 
